"","random.stat","random.pval","obs.pval","obs.stat","label","mean_numeric","sd_numeric","rand.var"
"729",-0.453384841850679,0.122877122877123,0.122557224595028,-1.54675635610623,"r1=0, r2=0",0.0226399079407243,0.993291796230675,"pearson"
"730",1.56518647172455,0.0649350649350649,0.072305650728616,-1.8010131037761,"r1=0, r2=0",-0.0604331597043069,0.970490264691562,"pearson"
"731",0.888340756788483,0.371628371628372,0.365162470246955,0.906400081534459,"r1=0, r2=0",-0.0374610442093991,0.999309306657085,"pearson"
"732",-0.157668955048596,0.0619380619380619,0.0531760513786133,-1.93809846704928,"r1=0, r2=0",0.111549705727963,1.00910948823155,"pearson"
"733",-0.0267807204301415,0.246753246753247,0.243460315104815,1.16776508761883,"r1=0, r2=0",0.0680919356224192,1.03931406416009,"pearson"
"734",1.00256698024337,0.965034965034965,0.973202231749354,0.0336092254812133,"r1=0, r2=0",0.0403888001570121,1.01887235733775,"pearson"
"735",2.30512333044485,0.247752247752248,0.278238697832704,-1.08547001979111,"r1=0, r2=0",-0.0135887100388523,1.0259632212463,"pearson"
"736",0.570093989151737,0.551448551448551,0.534120427877806,-0.622161487913436,"r1=0, r2=0",-0.0833610625845564,1.0133618985413,"pearson"
"737",-0.373373677186994,0.618381618381618,0.581951121953098,0.550897309621155,"r1=0, r2=0",-0.00901967789467508,1.03492968254519,"pearson"
"738",0.48303606053301,0.0599400599400599,0.045890386265891,-2.00140904190654,"r1=0, r2=0",0.0739989785262638,1.05257555570831,"pearson"
"739",-1.54373301379427,0.032967032967033,0.036163836642582,2.10076370287271,"r1=0, r2=0",0.0190237634109144,1.01675530345686,"pearson"
"740",-1.04821760250198,0.902097902097902,0.892762074471072,0.134878955467642,"r1=0, r2=0",0.0227429675183322,0.987942794033187,"pearson"
"741",-0.31525765984335,0.646353646353646,0.647020347777258,-0.45818368022876,"r1=0, r2=0",-0.0129524717968318,0.949396565462493,"pearson"
"742",-0.156596116316165,0.873126873126873,0.856892609822018,0.180424638709799,"r1=0, r2=0",0.0147301650396142,1.02165444741139,"pearson"
"743",1.59371737459171,0.89010989010989,0.887073414048577,0.142081091874092,"r1=0, r2=0",-0.000147340343896726,1.03249207917135,"pearson"
