"","random.stat","random.pval","obs.pval","obs.stat","label","mean_numeric","sd_numeric"
"13856",-0.542908492819392,0.226773226773227,0.00950348812161426,2.60493444652355,"AA=0.9, BB=0.9, r=0.75",2.376,1.55546228686256
"13857",2.45005690999264,0.691308691308691,0.358688936895575,0.919329346600771,"AA=0.9, BB=0.9, r=0.75",2.132,1.36905976834417
"13858",-0.175290964402092,0.934065934065934,0.746381112039311,-0.32361223502391,"AA=0.9, BB=0.9, r=0.75",1.74,1.21957974298485
"13859",0.270522735042343,0.892107892107892,0.746248008617569,-0.323788859204816,"AA=0.9, BB=0.9, r=0.75",1.702,1.28081105316429
"13860",1.82794471038721,0.886113886113886,0.757220268917498,-0.309331426940095,"AA=0.9, BB=0.9, r=0.75",1.826,1.41836084794737
"13861",-1.51191224448327,0.83016983016983,0.648483817964822,0.456300163425387,"AA=0.9, BB=0.9, r=0.75",2.29,1.5253042667653
"13862",-1.65807912221078,0.048951048951049,0.000145841408185603,-3.82769441413398,"AA=0.9, BB=0.9, r=0.75",2.17,1.51051756913096
"13863",-0.904110065034467,0.466533466533467,0.0537301920101411,-1.93475523571099,"AA=0.9, BB=0.9, r=0.75",2.006,1.32418689839606
"13864",3.36410885253028,0.500499500499501,0.0957046131160724,1.66933413784412,"AA=0.9, BB=0.9, r=0.75",2.128,1.32632359118621
"13865",-0.301514075335243,0.589410589410589,0.241779859267798,-1.17208743428638,"AA=0.9, BB=0.9, r=0.75",2.156,1.39841880361378
"13866",1.57003289444731,0.849150849150849,0.713879976075868,-0.367007971761645,"AA=0.9, BB=0.9, r=0.75",1.952,1.25732164358642
"13867",-3.0427831247021,0.172827172827173,0.00264302779045306,-3.02193424924771,"AA=0.9, BB=0.9, r=0.75",1.804,1.57942177593339
"13868",-2.1864301402675,0.115884115884116,0.0000682785088673895,-4.03213967084517,"AA=0.9, BB=0.9, r=0.75",1.744,1.46791469339815
"13869",-5.67982804332502,0.701298701298701,0.0532406533104603,-1.93765332500149,"AA=0.9, BB=0.9, r=0.75",2.118,1.62152233081715
"13870",2.93192870892329,0.863136863136863,0.704201746293258,0.37999521989235,"AA=0.9, BB=0.9, r=0.75",1.88,1.35398173291449
"13871",-3.07631940219622,0.873126873126873,0.728543897442779,-0.347258460775113,"AA=0.9, BB=0.9, r=0.75",1.656,1.26683611706289
"13872",-3.28956618537462,0.553446553446553,0.18159137710002,-1.33777385241464,"AA=0.9, BB=0.9, r=0.75",1.982,1.2461065617058
"13873",3.50569952345454,0.177822177822178,0.000479887826624706,3.51804249117012,"AA=0.9, BB=0.9, r=0.75",2.102,1.401257665846
"13874",-5.0274240231414,0.483516483516484,0.0119797740483019,-2.5226713110629,"AA=0.9, BB=0.9, r=0.75",1.788,1.45577971863134
"13875",-6.24399654368722,0.613386613386613,0.256430574605176,-1.13617318115945,"AA=0.9, BB=0.9, r=0.75",2.09,1.44293594045492
"13876",-3.50640496990871,0.293706293706294,0.0485971452847626,1.97924759769896,"AA=0.9, BB=0.9, r=0.75",1.97,1.38598047741212
"13877",1.83819960387616,0.628371628371628,0.270556560878084,1.10300866815393,"AA=0.9, BB=0.9, r=0.75",2.196,1.36282742751765
"13878",2.27496070372591,0.889110889110889,0.794988113515915,0.259978542115083,"AA=0.9, BB=0.9, r=0.75",2.244,1.43686923078363
"13879",-0.554957701729709,0.604395604395604,0.109597632866552,-1.60363048011696,"AA=0.9, BB=0.9, r=0.75",1.816,1.36156222898802
